name,cardImage_url,mana,text,class,type,attack,health,series,introduction
火焰德魯伊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf55385a8b4616f0a3cfe5e82217fc904b4d87a348349bfff8c694bf5aeb054e.png,3,二選一：變形為5/2，或2/5的手下,2,1,2,2,blackrock-mountain,在北裂境待太久的德魯伊很容易就被拉格納羅斯收買。通常只要一杯熱巧克力就夠了。
火山古樹,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa0255d9db472ecf1a5b5b325af9564b4d15b762aab6b82a99aa7d3540f4e0ac.png,9,嘲諷。本回合死亡 的每個手下使消耗 減少(1),2,1,7,8,blackrock-mountain,木…木頭燒起來了啦！！！
快速射擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0673f930fc245791413bc36bdd9d3c835851401de793ee49da20cf7196283c24.png,2,造成 3點傷害。 若你手中沒有牌，抽一張牌,3,0,,,blackrock-mountain,先射了再說。
熔核怒犬,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e9d6c9df18ff370b0b394a230e433c5335c74cbb87d2b0f0c0160a6db9f1e63.png,4,戰吼：若你沒有手牌，獲得+3/+3,3,1,4,4,blackrock-mountain,要非常有決心的獵人才能深入岩漿池，說服住在裡頭的怪物跟著回家，成為乖乖的家寵。
喚焰者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7e41e9a989e00e67a205f5c119e02e7ab9ce11af7115a80d291ca50ede0be62.png,3,在你施放法術後，造成2點傷害，隨機分給敵方角色,4,1,2,4,blackrock-mountain,喚焰者隨身都帶著生火工具。你知道的，萬一火焰臨時喚不出來就糗大了。
龍之吐息,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/565102c8fd3dab77677823218fa337124048ad1f8595bd4da5967a8d701e4b6e.png,5,造成 4點傷害。本回合死亡的每個手下使消耗減少(1),4,0,,,blackrock-mountain,既然牠嘴巴裡有火，理論上應該會飄出烤龍肉的香味才對吧？
莊嚴守靈,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ae6ce8b8f7596d36ffc5dbac335d8fdcb7872ad754d929fabc4f32b6d42055c.png,5,抽2張牌。本回合死亡的每個手下使消耗減少(1),5,0,,,blackrock-mountain,每年，人們會聚集在黑石山哀悼被心控跳進岩漿的死者。
龍之伴侶,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/664a77ba8550eba58003dc0c373b93c6d659ca8b67436d1af03e63d093ac1a97.png,5,戰吼：你所打出的下一個龍類手下消耗減少(2),5,1,5,5,blackrock-mountain,每個人都希望有伴侶能親親抱抱。就算是有著恐怖鱗片覆蓋全身的破壞巨獸也一樣。
暮光幼龍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d37d925519b1dabceb4c845aa2383ee85a0459856f560bd77c362994ccf47274.png,1,戰吼：若你手中有龍類，獲得+2生命值,6,1,2,1,blackrock-mountain,暮光幼龍基本上算是魔法吸血鬼的一種。但千萬不要把牠們跟某部知名系列小說混為一談。
復活,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/72adc1d20c2b3bb149f0e61e104eb87b08cf8cb08640a6269a577ff963bd3088.png,2,召喚本賽局中死亡的一個隨機友方手下,6,0,,,blackrock-mountain,我走進地城，發現了一個被殺死的冒險者。在他臨終前，他在身邊的牆壁上留下了三個字：幫復活。
