name,cardImage_url,mana,text,class,type,attack,health,series,introduction
兇蠻,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae3dc55994676a095179c777623a5c7397239c1459166853d2032a5872f8160f.png,1,對一個手下造成等同你英雄攻擊力的傷害,2,0,,,classic,有些德魯伊很兇蠻是事實，但是其他的德魯伊還是很喜歡喝杯好茶享受寧靜的時光。
野性之力,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/14664ea414b14556a7d46bb1ae66ae9a16c85fdb8eccd8202a82a85a146ec6a0.png,2,二選一：使你的手下+1/+1，或召喚一隻3/2獵豹,2,0,,,classic,永遠別跟獵豹對視。還是「要與獵豹正面對視」？反正是這兩種的其中一種就對了。
憤怒,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cde9223185ef2a2fdf82f3202c3f20d10075aec3d304e260b0444becc494146f.png,2,二選一：對一手下造成 3點傷害，或造成 1點傷害並抽一張牌,2,0,,,classic,棘齒城旅店裡的人都公認這張牌太強了，應該要是傳說級才對。
自然印記,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71d6e300d2cae9e365d9a4d1294b13b0c056f41e48a17684e4f3eb39295f41df.png,3,二選一：給一個手下+4攻擊力，或+4生命值及嘲諷,2,0,,,classic,德魯伊們說這叫「自然印記」。其他人則說他們「該洗澡了」。
森林之魂,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2bb8f2d60ea2980c509409e4136dcb4b2fb8eed213bf8bb345c86ceb2067aeb2.png,4,賦予你的手下「死亡之聲：召喚一個2/2樹人」,2,0,,,classic,「造林」這個字眼忽然間變得恐怖了起來。
撕咬,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc931f12f13c567bd89fa71d26f393d1ca1aa9e8451f9ce82a100ed157d1ca49.png,4,賦予你的 英雄4點護甲值及本回合+4攻擊力,2,0,,,classic,要咀嚼食物！
森林看守者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/762ca92da3cd3f7510d09a83d59e552824d4e699aaf0c2f9f4f6243b217da83b.png,4,二選一：造成2點傷害，或沉默一個手下,2,1,2,2,classic,這些傢伙一出現就開始做林木保育，連問都沒問。
星殞術,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c207ef38f8cefef2d3c7485076953053501adf7eeaee8cd1eb8180eaf2960ee2.png,5,二選一：造成一個手下 5點傷害，或全部敵方手下 2點傷害,2,0,,,classic,天空要塌下來了嗎？是的，要塌下來了。
自然之力,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52599f060a16a06f04960f159bd38be4dab0f3a7b7ebee0609b2b11303676048.png,5,召喚三個2/2樹人,2,0,,,classic,「我想先在那些樹下打個盹。等等…啊啊啊啊！！！」-不幸的地精布林克非茲
利爪德魯伊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5dfeca048fdda5f5866159d6ebf1451b2666dc104ca4ee30f62f500c26fd0f2.png,5,二選一：變形為有 衝鋒的4/4手下，或是 有嘲諷的4/6手下,2,1,4,4,classic,獵豹還是熊？獵豹還是熊？我沒辦法決定啦！
滋補術,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b5b6cc63e147f2f852085ddc25eb385621ff9caa88048b2493f85bd7950432f.png,6,二選一：獲得2顆法力水晶，或抽3張牌,2,0,,,classic,德魯伊能透過許多東西攝取養分：自然之力、鳴禽之聲、巧克力蛋糕。
知識古樹,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e1e223e4700cb82b5eecc374ea2ca3b03a6ade9f0cb5cdfa515b0016d7829a4.png,7,二選一：抽1張牌，或恢復 5點生命值,2,1,5,5,classic,沒關係，去把你的名字刻在他身上。
戰爭古樹,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7c283b8df918f1f9f2c75c33a28ba7ce304f986e4b8c996f3bdb54a86979853.png,7,二選一： +5攻擊力，或+5生命值及嘲諷,2,1,5,5,classic,年輕的夜精靈喜歡玩「誰能讓戰爭古樹拔根？」被踩扁就算輸。
野性賜福,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/248f95902694c2b45a2d3f385bab6abcb686f99fef3b6b3eb4f7e35f45f1b6fa.png,8,賦予你的手下 +2/+2及嘲諷,2,0,,,classic,當心玩得太狂野，可能會獲得意外的賜福。
塞納留斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6815a2970e64e5cf5e2f7769390d6621f203904814e60be15d2b5af202c41de3.png,9,二選一：使你其他的手下+2/+2，或召喚兩個有嘲諷的2/2樹人,2,1,5,8,classic,是的，他是個半神。不，他不需要穿上衣。
狂野怒火,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ed1c9dd923eb4ae169e9643c6ce28b541b93273d6d671e2d4b09745bb307548.png,1,本回合賦予一隻友方野獸+2攻擊力及免疫,3,0,,,classic,沸騰的憤怒僅僅是表面。在那之下是狂亂的自我解放，隨之而來的是輕微的不快。
放蛇陷阱,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1db61a393cc5c541be604b19be359838be957ff0f33a278e1ece690de96407e.png,2,秘密：當你的手下受到攻擊時，召喚三條1/1的蛇,3,0,,,classic,為什麼一定得是蛇？
冰凍陷阱,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b4c3ff50fbff15f81734f13af2e9e3b5b81390caad2433ccb504e5404f9024d.png,2,秘密：使一個進攻的敵方手下返回手中，且消耗增加(2),3,0,,,classic,「很冷耶。」-對冰凍陷阱的反應，或者是對冷笑話的反應。
爆炸陷阱,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06430230a3b79f4dee478a7297fe35697d3c320bfd20594b107e051d8b8fe88c.png,2,秘密：當你的英雄被攻擊時，對全部敵人造成 2點傷害,3,0,,,classic,它會捕捉你的食物然後幫你煮好！
狙擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cabd272afbc9213a4f41b4d1661ee8d237fdd6b4840832aeab0f432f7c08636.png,2,秘密：在對手打出手下後，對它造成 4點傷害,3,0,,,classic,好的狙擊手專打軟肋。像是野豬美味的側腹。嗯…
照明彈,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/626f5ed42d3373eaa0cf5f7d31e90f4bb34099462e90bd80aafb2c77384db2ff.png,2,全部手下失去潛行。摧毀全部敵方的秘密。抽一張牌,3,0,,,classic,這不只是能照出你敵人的行蹤，在派對上也很好用！
誤導,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5cf0768c86b00f88deadcb85f713e9714f43e4f616a4577b9d20996e14374538.png,2,秘密：當敵人攻擊你的英雄時，改為攻擊另一個隨機角色,3,0,,,classic,有時候簡單到只要戴上假鬍子然後指著另一個人就行了。
食腐土狼,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7ee455e813ae5c8b6a5b7d54de11c14813b889a739e96e98b073a5357931f9c.png,2,每當一隻友方野獸死亡，獲得+2/+1,3,1,2,2,classic,土狼喜歡啃科多獸或風蛇的骨頭，但是基本上牠們什麼都吃。牠們甚至會吃孢子甘藍。
致命射擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d05147d2d7e419ecaa36f8cdadfe7c2402c5755fe250884ba71947c618506e99.png,3,摧毀一個隨機敵方手下,3,0,,,classic,這東西射出去，一定會出人命。至於…會出誰的命，那可不一定。
放狗,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f51cbd7f650be7b9f0ba7ffa1d92c3baf6c827c10a6d187e50029136a72e934.png,3,召喚等同敵方手下數量並有衝鋒的1/1獵犬,3,0,,,classic,你每次打這張牌時，記得把牌的名稱大喊出來。
鷹角弓,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b8e056849b4c335fa128004380661f81fbdf9a6fadad5548affb60bb903a0a39.png,3,每當友方的秘密揭露，獲得+1耐久度,3,2,3,2,classic,第一課：把尖銳的那一端指向另外一個人。
爆裂射擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07f076f3e1d8d29b84e71d1970af33089d5a2bc95f880899ab58a4a18d429f4b.png,5,對一個手下造成 5點傷害，並對其兩側的手下造成 2點傷害,3,0,,,classic,拉掉保險栓，數到5，然後射擊。然後臥倒。
長鬃草原獅,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f11666a8ebe01a15f4071a0c936422abf84773c96a774958e96574ed57739371.png,6,死亡之聲：召喚兩隻2/2土狼,3,1,6,5,classic,在恐怖的叢林中，獅子也會被土狼群慢慢吞食。
鬥士長弓,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d467297235beb8d7140a06f2bcec7f04076a162e6d613c7ebd9140af4aef2fe7.png,7,你的英雄在攻擊時免疫,3,2,5,2,classic,長弓能從更遠的地方發射，對於特別臭的目標格外好用。
克洛許王,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d1f1dd180ac6a16a664b0340296053af0dc92c1c01f914cc82a00cc80f37067.png,9,衝鋒,3,1,8,8,classic,要防禦魔暴龍之王克洛許最好的辦法就是讓你討厭的人站在你前面。
智力魔典,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bd7a886b57ce2a41ff436441d8ae9d676ec4db6200edadcf850154a044c0f5ac.png,1,放一張隨機法師法術到你的手中,4,0,,,classic,智力卷軸用完的時候，你可以撕一張下來用。
法力龍鰻,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cf47f37ffa130f01de6eb13cc76168a7e594d2fa43cfe4265feff0555a70647.png,2,每當你施放法術，獲得+1攻擊力,4,1,1,3,classic,這些龍鰻會吸食秘法能量，雖然通常被認為是小麻煩而不是威脅，不過還是真心建議你不要把他們放在法力藥劑的附近。
巫士的學徒,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06b911f282b8a5b39b99ba3ceb938383bf622ff2abc7b7cbb4d2650f09826089.png,2,你的法術消耗 減少(1),4,1,3,2,classic,學徒非常好使喚。「幫我做些法力麵包！和一杯咖啡！不然乾脆做杯法力咖啡好了！」
冰柱術,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e2b4d37954d5c558ac78b5f8e66c5d32d66fbe01e6a1dee0a13545b307bbd99.png,2,對一個手下造成 2點傷害。若該手下已凍結，抽一張牌,4,0,,,classic,「梅太太，給我來張卡牌！」 「你要先來點冰涼！」
法術反制,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6089b800595c4579c48389c95d87c52727c7e5a7756db4d282f36a7dbb78cc53.png,3,秘密：當對手施放法術時，反制,4,0,,,classic,使用法術反制和沒使用反制法術的法師之間有什麼不同？沒使用反制法術的法師會被炎爆術直接打在臉上。
鏡像體,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/acde95ff479b7761728024aac29a66d77bf1e8809b6f065be432e83af0b21204.png,3,秘密：在對手打出手下後，召喚一個它的分身,4,0,,,classic,「你先上。」-『巨獸』庫洛許戈爾對寵物野豬如此說。
氣化,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f77226534178ca9caf0a4ebc7ee0aacb4fd8107565ca499a450a8e2c70c9ee1.png,3,秘密：當一個手下攻擊你的英雄時，摧毀它,4,0,,,classic,謠言說，大災變的起因是因為死亡之翼的對手打了這張牌，導致他輸了一場。我們已經無從得知真相。
法術扭曲者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4210c52d8fc478c9fd48ad4768ba24589258de387a5280178eeba621edb68bde.png,3,秘密：當敵人對一個手下施放法術，召喚一個1/3手下成為新目標,4,0,,,classic,雖然攔截敵人的閃電箭很有趣，但法術扭曲者比較喜歡攔截對手的野性印記。這比較卑劣一點。而血精靈…好吧，他們是有點卑劣。
寒冰護體,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d34ac50d4dfe22198261b97516868ca741c3cf40c49d9efe5fed6477fd693d2.png,3,秘密：當你的英雄被攻擊時，立即獲得8點護甲值,4,0,,,classic,這是第1級。第2級是巧克力牛奶護體。
祈倫托法師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8374390ad886214a1e85b268a154761cd74ecb918ab42d5f060a286b26e6a625.png,3,戰吼：本回合 打出的下一個秘密 消耗為(0),4,1,4,3,classic,祈倫托住在飄浮的城市達拉然裡。如何調製飄浮達拉然？兩球冰淇淋，一球達拉然。
冰錐術,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63a60d7afaec80e6b05a02fa82067eb41aa5422ebd2cc32181c0b53d40b16d17.png,4,凍結一個手下及其兩側的手下，並對他們造成 1點傷害,4,0,,,classic,祈倫托的法師本來都愛用冰塊術，直到90多年前甜筒開始流行。
以太秘法師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4d1f20a439590ae3a97fa05b425a44497e1765995b85827846c9e4e9b9144c6b.png,4,若你場上有秘密， 在你的回合結束時 獲得+2/+2,4,1,3,3,classic,這些以太族穿衣服是為了給予他們無形的身軀形體。而且也因為衣服軟軟的很舒服。
暴風雪,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd2d80ebccbd685cf77b8c59a0f8e174df52babe2f9de004b8268888586e9ede.png,6,對全部敵方手下造成 2點傷害並使其凍結,4,0,,,classic,降下的暴雪有很強的娛樂作用。
大法師安東尼達斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a058ceade66d72f9825ca413c00ee6311cc43f83a0691da908825c8be9fafd5.png,7,每當你施放法術，就放一張「火球術」到你的手中,4,1,5,7,classic,安東尼達斯生前是祈倫托的大魔導師，也是珍娜的導師。這比果凍甜甜圈的大魔導師高尚多了。
炎爆術,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b4f442081fce2ad0b7af3be16f374b68629c224747008493b04836a970493a3.png,10,造成 10點傷害,4,0,,,classic,抽到這張牌以後，記得花點時間來發出邪惡的笑聲。
救贖,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd7f988bfb1c1563fe604e4a81d94ccedd1f84a9373ffaef9d1c728e533ac05e.png,1,秘密：當一個友方手下死亡時，使其復活並擁有1點生命值,5,0,,,classic,我一直搞不太清楚到底要救還是要贖。
懺悔,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35de50b739918a30340d6f17612e606c5d673fa01736f5985ec118060455e4c8.png,1,秘密：在對手打出手下後，將其生命值降為1點,5,0,,,classic,人們通常在生命結束的前一刻才會懺悔。真有意思。
以眼還眼,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c9cc9ab9155bc6a3ce3040cf601e4576f4ff133f634554aacbde0a3f45799b0.png,1,秘密：當你的英雄受到傷害，對敵方英雄造成等量傷害,5,0,,,classic,正義有時候就是用拳頭跟對方的臉頰進行接觸。
光榮犧牲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1129deeac8a99a69240854a48b2156db67f58acaaf6e2f830ec9d26a3bf320e4.png,1,秘密：當一個敵人進攻時，召喚一個2/1防衛者成為目標,5,0,,,classic,我們會記得你的，「防衛者」！
智慧祝福,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f771be4e22bdcd7e61b118d2ec5ff9dc2c53416eb26471aed7b7533103a3ca8.png,1,選擇一個手下。每當它進行攻擊，抽一張牌,5,0,,,classic,顯然有了智慧，就會帶來「你大概應該每回合都進行攻擊」這樣的常識。
