name,cardImage_url,mana,text,class,type,attack,health,series,introduction
電鍍機械小熊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df1fae8f16f000362c47458caad9170cfa83616af89af6ddf5845729e4c0dfb0.png,2,嘲諷。二選一： +1攻擊力或+1生命值,2,1,2,2,goblins-vs-gnomes,噢，好可愛呀！呃，天啊，牠為什麼要啃我的臉？！
林地看管者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d43c3180c7843835e61d8fd8715c3fa7d191d3b83d7d5af5bf747858bd45bf37.png,3,二選一：賦予雙方 1顆法力水晶，或各抽一張牌,2,1,2,4,goblins-vs-gnomes,喜歡：爬山、大自然。不喜歡：哥布林伐木機、拖鞋。(因為找不到合腳的！)
尖牙德魯伊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bd50ffb12b8735e1b27ec21df006e420a245b5d1d442f59488b2671a48110577.png,5,戰吼：若你有野獸，此手下變形為7/7,2,1,4,4,goblins-vs-gnomes,為什麼尖牙德魯伊都住在哀嚎洞穴？因為他們出門以後就不叫尖牙德魯伊了。
回收,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb14f955dea382850939b778718d738fadd9f189738e34d545583590615961b8.png,6,將一個敵方手下洗回你對手的牌堆中,2,0,,,goblins-vs-gnomes,德魯伊的回收方式是把塑膠分類在一袋，敵方手下分類在另一袋。
機械熊-貓,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/928fcb02d55e0f6b6d93e016c71798435a694a627bdb4b26078cccc4f656bd90.png,6,每當此手下受到傷害，就放一張備用零件到你的手中,2,1,7,6,goblins-vs-gnomes,牠徒手拆建築物的效率讓怪手望塵莫及。
黑暗幽光,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/affce570f4450f7ceaa6222e0f8087dbe084502ec8200ab06b7e8822e61521ad.png,6,二選一：召喚 5個幽光，或賦予一個手下+5/+5及嘲諷,2,0,,,goblins-vs-gnomes,不用擔心，我們把替這張卡牌命名的人開除了。
瑪洛尼,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/608214fad266fdc443a203b0d61a3d6d7626bbfc43e8c5613caf5bcfd1084f4b.png,7,死亡之聲：將此手下洗入你的牌堆,2,1,9,7,goblins-vs-gnomes,我不是馴鹿！我不認識什麼聖誕老人！
生命之樹,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3cf9742b27a56c3e23f14cb2bb512ee2d7223295ef9119b571472b013b51893d.png,9,使全部角色 生命值恢復全滿,2,0,,,goblins-vs-gnomes,治療，是會長在樹上的！
假死,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eabfa87ae6b19451603d7b55860236b320e49b1a061c45398870f130e1b6edf9.png,2,觸發你所有手下的死亡之聲,3,0,,,goblins-vs-gnomes,假死要裝得像，最難的就是連味道都要聞起來像是真的死掉一樣。千萬不要在家練習這個。
旋刃火箭筒,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e42e6e2d044c98348e0fba1801950c5807dccea3e570309428cf4d15c22f48d8.png,2,戰吼：賦予一個隨機的友方手下+1攻擊力,3,2,2,2,goblins-vs-gnomes,當一般的火箭筒不夠力時，用這個就對了。
熱砂狙擊手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78ec68ff8b7ef3f9007bed4de803ca5a8c8dc0b96b0d3f27f2e244ab09121bf3.png,2,你的英雄能力能夠以手下為目標,3,1,2,3,goblins-vs-gnomes,難得有哥布林有耐心當狙擊手。他們大部分都喜歡衝上去丟手榴彈。
召喚寵物,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8af689de44f42ac6dab4cc6e0e12bc7108c319deef47ead5e7da3ced0510bf35.png,2,抽一張牌。 若是野獸卡牌，其消耗減少(4),3,0,,,goblins-vs-gnomes,真正的獵人都抓飢餓的螃蟹。
鋼牙獸,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2436950a39a94173bed2e8f8155c60746a41cbd887f32d378fb9a3ee5dced047.png,3,戰吼：賦予你其他的機械+2攻擊力,3,1,3,3,goblins-vs-gnomes,不要讓牠們淋雨。在安戈洛環形山那邊，鏽牙獸已經多到無法控制了。
萬獸之王,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5ebd2512e841f779a3c89e4325fad6d090fa9d538ca217d1b30119eee1db8d4.png,5,嘲諷。戰吼：每擁有一隻其他野獸，便獲得+1攻擊力,3,1,2,6,goblins-vs-gnomes,獅子是萬獸之王。所以獅子王是萬獸之王之王。這樣說對吧？好，把剛才那句話很快的唸十次看看。
眼鏡蛇射擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ef1d36cfacb48fb5b5b77c80a4bf24253529710d1c656d992a660b8e06b5e42.png,5,對一個手下及敵方英雄造成 3點傷害,3,0,,,goblins-vs-gnomes,比較蹩腳的獵人通常會用青竹絲或龜殼花的蛇毒來蒙混過去。
加茲瑞拉,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c4c52588b975c928243eddfab6d36e92764315f03438936e00f7ca62533c19d.png,7,每當此手下受到傷害，使其攻擊力加倍,3,1,6,9,goblins-vs-gnomes,森金高中的足球隊就是叫「加茲瑞拉隊」。
烈焰火砲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa63f3c63311400221511c544c993ea85574c44a926b49d6bb07ee68aca3fa49.png,2,對一個隨機 敵方手下造成 4點傷害,4,0,,,goblins-vs-gnomes,稱它為烈焰火砲，說實在的，並不能把它跟其他的哥布林裝置做出什麼區隔。反正都會冒火！！！
剷雪機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a05f7cbd0e042e13d0785a79ed16e044d43c6c4bc1cfa3f04da6a077381a0985.png,2,凍結任何被此手下 傷害的角色,4,1,2,3,goblins-vs-gnomes,在他經過時跟著喊：剷剷剷！
不穩定的傳送門,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/05f90cd3eb9fd75af4284d8563d9c80beaf62b38992721fabe731a0441af76c4.png,2,放一張隨機手下到你的手中。它的消耗減少(3),4,0,,,goblins-vs-gnomes,艾澤拉斯的居民完全不知道要穩定傳送門得花上多少功夫。傳送門的維護費用佔了我們百分之三十的GDP。
煤煙噴吐機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01f39e1c8873b8fc2267afb0aeef1faaf67f39f67f0faf9e7afa672506fdf0d7.png,3,法術傷害+1,4,1,3,3,goblins-vs-gnomes,據說哥布林伐木機的發明者跟煤煙噴吐機器人的發明者有好幾件官司正在打。
哥布林轟炸法師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c1e71780010f069f5e1a868a343afaaed821903a21cdcb2ae8dcc1428b707a6.png,4,戰吼：若你有機械，造成4點傷害，隨機分給敵方角色,4,1,5,4,goblins-vs-gnomes,如果你手頭上沒有炸彈可以丟，隨便拿起一個哥布林的發明扔出去就對了。
麥迪文的回音,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b9b6dcf713a3323456fc4c953115b1e766f9efdb8ec43b5d544d4687566506db.png,4,複製場上每個友方手下，放到你的手中,4,0,,,goblins-vs-gnomes,麥迪文的回音仍在卡拉贊作祟，永恆地在西洋棋跟爐石戰記中作弊。
嬌小的法術干擾師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99e317780106e2775c36a012b7c98c02f35cb58d74b02bda6e81ba7e23333307.png,4,兩側的手下無法被法術或英雄能力指定,4,1,2,5,goblins-vs-gnomes,聽說法師都恨她恨得牙癢癢的。
烈焰戰輪,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62ab29f6391edf4b2c9dea80a97904100ed2bf815acaa4fb4669c74426191d78.png,7,當你抽中它時，對全部角色造成2點傷害,4,1,7,7,goblins-vs-gnomes,彌米倫喜歡開著烈焰戰輪出去兜風。
光明聖印,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31e226b8cd512f4e686a3c242a9d789163217a728659041ac0ec9478ccdb470f.png,2,為你的英雄恢復 4點生命值，並賦予本回合+2攻擊力,5,0,,,goblins-vs-gnomes,有時候你不禁會猜想，如果有黑暗聖印，效果會是怎樣？
護盾小機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/470bbb259947520d2c823fb9e8ef7b3504dc65016b01f62cf00673fa7b6d7125.png,2,聖盾術,5,1,2,2,goblins-vs-gnomes,它只相信它的程式碼中要它相信的事情！
齒輪巨錘,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f99114fc6aaf65c4d04f1a4ceb660d6cf09a2c1c8aab2e24c1e8a4eea3670913.png,3,戰吼：賦予一個隨機的友方手下聖盾術及嘲諷,5,2,2,3,goblins-vs-gnomes,你說，把這個東西從機器裡扯出來，雕上一些符文，裝上把手，就變成了強大的神聖武器？嗯，聽起來還不賴。
整裝備戰,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/052d25fef941983a3982d1f6844625c3f6a4ff308ba64548bb65fbad29e94cea.png,3,召喚三個1/1的白銀之手新兵。裝備一把1/4的武器,5,0,,,goblins-vs-gnomes,「披薩來了！」 -目前效果最棒的白銀之手戰吼
血色淨化者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5835667fe6388a7c409eea2767e9f535573da4f1fd791c932acf988f6b0267ac.png,3,戰吼：對全部有 死亡之聲的手下 造成2點傷害,5,1,4,3,goblins-vs-gnomes,最近血色十字軍在做市場調查，看看換個顏色能不能更容易招人。
軍需官,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42d0a51e522424a61e28dd1cdea3033386552fbe1fa4c3895f1a2232c85acfba.png,5,戰吼：賦予你的白銀之手新兵+2/+2,5,1,2,5,goblins-vs-gnomes,他很享受新兵誠惶誠恐來跟他拿裝備的感覺。事實上，是有點享受過頭了。
鈷藍守護者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9382a8a5613ed27ccea87f81fec226e8b33a7bce134e48d3f47ee47126bdfef4.png,5,每當你召喚機械，獲得聖盾術,5,1,6,3,goblins-vs-gnomes,原本它們的材料是昂貴的源質礦，後來工廠遷到加基森，不知怎地就換成了便宜的鈷藍礦。
伯瓦爾‧弗塔根,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b58a118470b0ce103fc9ea422ac9aa113b97d7b1c46510cccdd241b8dd598f86.png,5,若這張牌在你手中，每當友方手下死掉，便獲得+1攻擊力,5,1,1,7,goblins-vs-gnomes,劇透：伯瓦爾後來被火烤了一頓，然後坐在一個寒冰的王座上，接著就被所有人遺忘了。
那魯之光,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/436958d32e2f758fed9c64a17429946c16eab662a218bc936e902bb02a732fe3.png,1,恢復 3點生命值。若目標仍然受傷，召喚一個護光者,6,0,,,goblins-vs-gnomes,「你跟過來做什麼？」
暗影炸彈手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d13fe24d481a2cd373ef53f168a332d70c5c9ba38a49ab833b1fd27894a594f.png,1,戰吼：對雙方英雄 造成3點傷害,6,1,2,1,goblins-vs-gnomes,暗影炸彈手會達成目標，但是她的工作態度有點隨便就是了。
縮小射線工程師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d9c75a757746a1b57c559876cb1a4814c181e53432e0c7580a5d6b0ff2f099c.png,2,戰吼：本回合賦予 一個手下-2攻擊力,6,1,3,2,goblins-vs-gnomes,在地精世界放大器的那場災難過後，地精現在對改變大小的發明都很有戒心。
暗影拳擊手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5eceda526b16fb47a11ed87ad22836364365d4fcb9bdb9669b71cfb0dd280d90.png,2,每當有手下受到治療，對一個隨機敵人造成1點傷害,6,1,2,3,goblins-vs-gnomes,它的主要功能是直拳攻擊。它的次要功能…也是直拳攻擊。
費倫的祝福,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/11035f38dd3abf379bbe57e41eae98004157349ddd667ca3219556852e0c40a2.png,3,賦予一個 手下+2/+4及 法術傷害+1,6,0,,,goblins-vs-gnomes,據說費倫每天要收到幾百封希望他的祝福能做成護身符的請求。
沃金,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/225f632a4326b3926bfee3cddbeda3fd959d61add4ad8a0d1787d55fc069d292.png,5,戰吼：與另一個手下對調生命值,6,1,6,2,goblins-vs-gnomes,沃金是個暗影獵手。跟暗影牧師差不多意思，只是更巫毒了點。
升級版修理機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4fc33a8b9dfb3db9018627ff8ba075988fae8f151aa5c1fe4ef1ff29a9753959.png,5,戰吼：賦予一個友方機械+4生命值,6,1,5,5,goblins-vs-gnomes,其實這一代跟上一代一模一樣，他們只是在上面多刻了「升級版」三個字，然後把標價加倍。
聖光炸彈,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf5c31693fd4bad80afa6e086037fab39b4fef3ef3fd8c982181bf7005ab9e17.png,6,對每個手下 造成等同其攻擊力的傷害,6,0,,,goblins-vs-gnomes,這就是讓哥布林當牧師的下場。
哥布林自動理髮師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe7f600cae4d346f6d73f7af47e613f5b10ac2b139097bd44f1fb2126df6ee62.png,2,戰吼：賦予你的武器+1攻擊力,7,1,3,2,goblins-vs-gnomes,自動修整你的髮型，或者身高。
獨眼騙子,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6266aae3166e7f454b2b503523d0b9da31d8cbe2861d08e70de3107e27728da.png,2,每當你召喚海盜，獲得潛行,7,1,4,1,goblins-vs-gnomes,海盜都會騙人，但他連海盜都能騙得死死的。
齒輪大師的扳手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89a183b07bd38ccb502681a16140d35c7a6705c5f810b16972a8f5f89cb64cd8.png,3,若你有機械則獲得+2攻擊力,7,2,1,3,goblins-vs-gnomes,拿來鎖齒輪跟敲穴居怪都同樣好用！
鋼鐵師尊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8622c1679ce66eaef4068479a739c90bf0328c8983e8bf1901419c411d1e6706.png,3,在你的回合結束時，賦予另一個友方機械+2/+2,7,1,2,2,goblins-vs-gnomes,機械很喜歡向他學習，因為他真的會說機械語言。 01000111101001001
破壞工作,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67932ff43cc7eebaf2f1cc589c4f2864674158b5eac9e50e1d3cf6f96c80a847.png,4,摧毀一個隨機敵方手下。連擊：也摧毀對手的武器,7,0,,,goblins-vs-gnomes,殺人放火金腰帶。所以殺完人，當然要順便放火，才叫完美的破壞工作。
技工的磨刀油,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16acf8ba5daae87c9fbd9c20e0783b308d030f83cb7c5e27189dd491a1e28a0a.png,4,賦予你的武器 +3攻擊力 連擊：賦予一個隨機友方手下+3攻擊力,7,0,,,goblins-vs-gnomes,「加油！加油！加油！」-超老套的加油方式
巨魔忍者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c0dbb014c289283bbf31547a1f9085124e31e5079d7c2875136b6ee6891f4a5.png,5,潛行 有50%機率攻擊 錯誤的敵人,7,1,6,6,goblins-vs-gnomes,他原本不符合進入忍者學校的條件。是他爸爸通過關係把他送進去的。
貿易親王加里維克斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7448920195602633a5dc07045d2415033ebce75adf31283bf7328dc948e1495c.png,6,每當對手施放法術，獲得一張相同的法術，並給對手一枚硬幣,7,1,5,8,goblins-vs-gnomes,加里維克斯相信供需法則。他提供一頓飽打，但需要你支付他車馬費！
漩渦打擊裝置,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f0fb0f9ba0f791dd2e3c315dd439f89e7f05dac3316ffc3bb8a64194c77213a7.png,2,風怒,8,1,3,2,goblins-vs-gnomes,原本這個是拿來打蛋用的。
轟雷,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9abc704597373a0922aa6c91b156bd3aa5a0cb10cdd95e8e99d3fd32cdc3556c.png,2,造成 3到 6點傷害。超載：(1),8,0,,,goblins-vs-gnomes,要發天打雷劈的毒誓之前，想想這張牌。
活力圖騰,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b0d89c768012de89771bbaf405a7153eafca798af5ce30f5f01986993eb5f5a8.png,2,在你的回合 結束時，為你的英雄 恢復 4點生命值,8,1,0,3,goblins-vs-gnomes,這些圖騰在週六的跳蚤市場上都可以找得到。
動力戰錘,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b999ace51448703aaccd01de806e61678448a3b81470ca7bfc0c85c7b0c4bda.png,3,死亡之聲：賦予 一個隨機友方機械 +2/+2,8,2,3,2,goblins-vs-gnomes,人們以為薩滿能控制元素，但其實他們只是問元素說可不可以這樣那樣，然後元素回答說，噢好啊。
先祖之喚,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/32501d29bfb2c567aa4fd895c7513d3d0e0ace18f7ac9c0d0f7f525bca7d6e04.png,4,從雙方手中各挑選一個隨機手下並放到戰場,8,0,,,goblins-vs-gnomes,「哈囉先祖！你們好啊！」
沙鰭靈行者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/883907d6fd1ae2fead50fae31feae9ec3ece91203a2269972a670d4a44e80c35.png,4,每當另一個友方魚人死亡，抽一張牌 超載：(1),8,1,2,5,goblins-vs-gnomes,不要以為魚人語就不能跟元素溝通。你看看他。
砂槌薩滿,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c94af0dff0876751957ab5a321e23753f9af79f9ff686147b63dc6d3a28d0f1b.png,4,風怒，超載：(1) 有50%機率攻擊 錯誤的敵人,8,1,5,4,goblins-vs-gnomes,他通常都閉上眼睛亂敲一通。吼吼！
奈普圖隆,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/433b8687a977133d9c9f7402efc21f889700a763bc21cb6798a16f8ba3969d1f.png,7,戰吼：放4張隨機的 魚人到你的手中 超載：(3),8,1,7,7,goblins-vs-gnomes,奈普圖隆是「獵潮者」，他是四大元素領主之一。他和拉格納羅斯共同舉辦的桑拿活動無人能比。
黑暗炸彈,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76ac62a9ea314cd4aca6a5d8051cb89c0ada3644817f5d4c4cc00a858139c1a2.png,2,造成 3點傷害,9,0,,,goblins-vs-gnomes,如果你想要組一副自殺套牌，這張卡牌超好用的！
苦痛女王,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fea09b5bf62cda5956e9d54c6108efe8ef8203ce01a4059658eb3a33a948050.png,2,生命竊取,9,1,1,4,goblins-vs-gnomes,「你不是苦痛侍女嗎？」 (啪！) 「叫我女王！」
惡魔火砲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29035c36617552a8e08f41c7428fdc4f10428acd21679fc084b81086be1d6d79.png,4,在你的回合結束時，對一個非機械的手下造成2點傷害,9,1,3,5,goblins-vs-gnomes,使用說明書上寫著：「最新升級版，保證多打1點！」
小鬼爆破,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/11984280e3ebafe687e36f7b79508dba6bea76926913093b654ea34c0660965a.png,4,對一個手下造成 2到 4點傷害。每造成一點傷害，便召喚一個1/1的小鬼,9,0,,,goblins-vs-gnomes,爆炸後的裂片，比爆炸本身還要糟多了。
惡魔之心,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0de5f97054a8540268b75d00e0a96f789eb4598a2e564d3432bd22e79f70a46.png,5,對一個手下造成 5點傷害。若目標是友方惡魔，賦予它+5/+5,9,0,,,goblins-vs-gnomes,幾乎每個贊成通過惡魔使用法案的人都是術士。怪了。
漂浮看守者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ed66dced1082fae06de2420f81f656934a299d348848c6d6823d65d42929cf4.png,5,每當你的英雄在你的回合中受到傷害，獲得+2/+2,9,1,4,4,goblins-vs-gnomes,一開始他的名字是「邪惡之眼末日看守者」，後來行銷部門的人覺得這個名字太有侵略性，怕影響到銷售，就改了。
