name,cardImage_url,mana,text,class,type,attack,health,series,introduction
劇毒種子,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9aa738ed6341de0d17fff657dabf102ee7f534414477740e547cef38fce8baab.png,4,摧毀全部手下並召喚2/2的樹人來替換它們,2,0,,,naxxramas,劇毒種子風味的麵包通常乏人問津。
織網者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7ec2014b070f9299b041a0c14e830ab467983d232ac33e4b1e289f286a96608.png,1,死亡之聲：放一張隨機野獸牌到你的手中,3,1,1,1,naxxramas,只有我在把繭打開時會感覺像是在開獎嗎？
複製,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f56b416aaee73a88c20278fed73a92122df4b498a39f2eab1d702e5e3065b4b3.png,3,秘密：當一個友方手下死亡，放兩張該手下到你的手牌,4,0,,,naxxramas,這是唯一一次複製卡牌不會讓你的帳號被封鎖喔！
報復,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/74af9017118bff6a6f5e34b75a14f4d6e000cedcbb9bf1ce077896f18bae968d.png,1,秘密：當你的手下死亡時，賦予一個隨機的友方手下+3/+2,5,0,,,naxxramas,有一群聖騎士組成了一團「正義之師」。他們的律師說服了他們不要取「正義聯盟」這個名稱。
黑暗教徒,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e1953fddf90d294efecece4cf07115a382114adf104b6747315391b141fbbb5.png,3,死亡之聲：賦予一個隨機的友方手下+3生命值,6,1,3,4,naxxramas,詛咒神教發現在招募新教徒時最好不要提到他們這個教派的名字。
阿努巴伏擊者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10719e5ca057d63ec4e6b022079132a29a4c7b81bf61f25a533118efbc49869b.png,4,死亡之聲：使一個隨機的友方手下返回你的手中,7,1,5,5,naxxramas,他原本的名字是「那個會把一個傢伙弄回手中的阿努巴」。但是後來大家覺得還是得取個正式的名字才行。
重生,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2a4bc33fd27ee4bfddd76c54a13d6933df26a9ba80ceba4278c37ef57a47391f.png,2,摧毀一個手下，再將其復活並使生命值恢復全滿,8,0,,,naxxramas,這就像出生一樣，只不過一出生就是成年，而且原本不久前才剛剛死掉。
虛無呼喚者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4239968ac3cc39c12ed22d701d8c42c1500a443204f9acffe7f0398d01c79ba.png,4,死亡之聲：將你手中的一個隨機惡魔放到戰場,9,1,3,4,naxxramas,虛無！虛無！虛無！
死亡之噬,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b6ebf9c32be33e3850fca47c3ec9d1a5ba165a42678b36258575cd71d9f3b33.png,4,死亡之聲：對全部手下造成1點傷害,10,2,4,2,naxxramas,「向死亡更邁進一步。」-死亡領主麥斯卡夫
肉身殭屍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fefc0668386669136605617c2261696616a6f938ad574d34dc66316ad52f7e8e.png,1,死亡之聲：敵方英雄恢復 5點生命值,12,1,2,3,naxxramas,殭屍。晚餐就吃這個。
殯葬管理員,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1925ff4cdfdef69a35f952dea5dfc62350127a18b81995a64d2a8c8d8da4444e.png,1,每當你召喚 有死亡之聲的手下，獲得+1攻擊力,12,1,1,2,naxxramas,在一個可以跑去找靈魂醫者自己復活的世界裡，殯葬管理員的工作非常輕鬆愉快。
鬼怪蠕行者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e59b870a3faedbf1cc0dcf1a215e54288af3f7ece43e8b15fce495fde555f8f4.png,2,死亡之聲：召喚 兩隻1/1鬼靈蜘蛛,12,1,1,2,naxxramas,連假蜘蛛都會怕。
瘋狂科學家,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2c20b804bde8b0cbe28a790961c8a34009dee8ff4c9a4270de9b18ec27f1b55.png,2,死亡之聲：從你的 牌堆取出一張秘密並放到戰場,12,1,2,2,naxxramas,他的母親希望他能成為法師或術士，但他偏偏要像他父親一樣成為科學家。
奈幽之卵,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/70e62fcf2d0a9d385d2f21ab68a835528734ac02c042593102bcb4b8215477b2.png,2,死亡之聲：召喚一個 4/4奈幽蟲族,12,1,0,2,naxxramas,裡頭除了蛋白質，還有奈幽蟲族。
奈幽巴蛛網領主,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ed71fb29a75dc318d240ebd6ee13eccd4f5bc3ecf0cee94d1fb3d2345180ec8.png,2,有著戰吼的手下消耗增加(2),12,1,1,4,naxxramas,蛛網領主整天都在做彈簧墊。
不穩定的食屍鬼,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e30dbfc3ca316a6ef304210b2e13e3b6c1a9ef3387c30d7798ca1c0caf7bb58d.png,2,嘲諷。死亡之聲：對全部手下造成1點傷害,12,1,1,3,naxxramas,死靈法師的學校喜歡教新手用火箭燃料餵食他們的食屍鬼。
迴音軟泥怪,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea5175bbd216bb4e2e3deeba570b28f4fe3b1e7b66aa7d203445cbdfe839ed54.png,2,戰吼：在本回合結束時召喚一個此手下的分身,12,1,1,2,naxxramas,軟泥…軟泥…軟泥…怪…(迴音)
納克薩瑪斯幻影,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9705f2a67c7ef182465eb940600e60ede4bce26f87ddd2335fccf5e7e78ac67d.png,3,潛行。在你回合開始時，獲得+1/+1,12,1,2,2,naxxramas,納克薩瑪斯幻影痛恨生者。他們非得把生者弄死，否則不會罷休。
死亡領主,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef110c6e66afd6d6b906c590066ebb53a7c0fb60728b63f848b482f188971e4b.png,3,嘲諷 死亡之聲：對手從其 牌堆召喚一個手下,12,1,2,8,naxxramas,「從墳墓中起身吧！」-科爾蘇加德
石膚石像鬼,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/72897dfa75b715e8d278ff9d0f28df5c0cba091e940fe54fa9f31515b4cab10b.png,3,在你的回合開始時，將這個手下的生命值恢復全滿,12,1,1,4,naxxramas,石膚石像鬼超愛捉迷藏的。
舞動的劍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a33fef1206752b159cd65111b4355cafc0b7824486573f759e2c06e6fed78e1.png,3,死亡之聲：對手 抽一張牌,12,1,4,4,naxxramas,它們喜歡跳雷鬼的音樂。
哀嚎的靈魂,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e9bb8a2857b7c53a1f3fbdb23dbcffbb4fed9d47fb18110a9ae98eecd7b885b.png,4,戰吼：沉默你的其他手下,12,1,3,5,naxxramas,這個靈魂超喜歡哀哀叫的。連朋友都希望能讓他閉嘴。
瑞文戴爾男爵,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/516fbac8d450b6899de0d02f9aefa0f4b0070e9a09f8e2f92ded63c801e3c600.png,4,你的手下 觸發死亡之聲兩次,12,1,1,7,naxxramas,布洛莫斯女士堅持不肯讓人稱呼他們為「四死騎」，因為她覺得聽起來像是「死死去」。
鬼靈騎士,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a30702bfd769303ca50d1a1da72047552240338530b9d4d0a9a4306de24b6d94.png,5,無法被法術或英雄能力指定,12,1,4,6,naxxramas,精靈龍跟鬼靈騎士有什麼共通點？他們都愛吃麵！
