name,cardImage_url,mana,text,class,type,attack,health,series,introduction
糾纏之根,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c0fbb4606d19ec24c7cddcb4655b2d16e88831397d023d02cd2680ef9de4e95.png,1,二選一：造成 2點傷害，或召喚兩個1/1樹苗,2,0,,,the-grand-tournament,小樹苗：「選我選我選我選我！」
達納蘇斯志士,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/48d37e1799fdb0c3b0d2180b395b9cc2bbaed22ea5abf4176ff951a1be770691.png,2,戰吼：獲得1顆空的法力水晶。死亡之聲：失去1顆法力水晶,2,1,2,3,the-grand-tournament,法力水晶就像愛情一樣，難以捉摸。
刃牙德魯伊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/898a510374494ffbd91db2683c5cafb26008d36aba4d988cc1ac4b627c7b6d30.png,2,二選一：變形為有 衝鋒的2/1手下，或是 有潛行的3/2手下,2,1,2,1,the-grand-tournament,名為刃牙，但是格鬥技不強。
堆肥,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b222d41eae095b0a998c8d160c33b593b2e40db9d0126e359baf0b6a57698e8.png,3,摧毀一個手下。放一張隨機手下到對手的手中,2,0,,,the-grand-tournament,把你養胖，然後再做成堆肥。
蠻荒戰鬥者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0a8a48b43c522721a65b88224f44399c58803dd280a6f9ebbe12bb641d98b24.png,4,激勵：本回合賦予你的英雄+2攻擊力,2,1,5,4,the-grand-tournament,相信我，拿塊紅布晃啊晃就能讓他平靜下來，你可以試試看。
星體共融,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae7ed3689d56f30840c02d23f4ff00e55500ca2f21b616e1425419af3ddc139a.png,4,獲得10顆 法力水晶。捨棄 你的所有手牌,2,0,,,the-grand-tournament,拜月神不只能求愛情，還能求法力水晶。
荒野行者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ade1ef866a269d2173abfb8769623c179046caa98325d5667fecadb1457ee8b9.png,4,戰吼：賦予一個友方野獸+3生命值,2,1,4,4,the-grand-tournament,她生而狂野，但她還不太確定什麼是狂野…
荒野騎士,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d704b53fc43459cb3982d5e929f84c73473745e00a6dc3cef5b1af8451a387b8.png,7,每當你召喚野獸，使這張牌的消耗 降低(1)點,2,1,6,6,the-grand-tournament,他自備馬匹，所以聯賽主辦單位替他的入場費打了點折扣。
艾維娜,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed784ac059ccdac1ef209ac8a9e450a014931f7ab2009b7bde838b074be989f9.png,10,你手下的消耗改為(1),2,1,5,5,the-grand-tournament,叫她「小小鳥兒」，她一定會很開心，我保證。
勇敢弓箭手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e2a3d3701d4582c1497dcd4ad8cd2f6d6f03dcec0b21afb611acd3783e7c1b9.png,1,激勵：若你沒有手 牌，對敵方英雄造成 2點傷害,3,1,2,1,the-grand-tournament,這致敬得夠明顯了吧。
全面備戰,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94358aea23d62ba0be2733c34ba7146add4cb2ad1d26c5bd2c3e1ed6fb528acd.png,2,本回合每次施放法術，放一張隨機獵人牌到你手中,3,0,,,the-grand-tournament,雷克薩皺起眉頭瞇著眼睛，一把抓起機關槍。「時候到了，準備開火！」 這張卡牌就是向那個特殊時刻致敬的。
國王的伊萊克,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f615345a5bd758c1febb8cc86b5939bc844eda9f3a05c377756e52123f44a142.png,2,戰吼：各翻一張牌堆手下，若你的消耗較高，抽出該手下,3,1,3,2,the-grand-tournament,騎伊萊克競技只有炫能形容。
放熊陷阱,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ee96071c71b9487b230299d60758c10e4be18fdc71f97964000f84bd86796ab.png,2,秘密：在你的英雄被攻擊後，召喚一個3/3且有嘲諷的熊,3,0,,,the-grand-tournament,關門，放熊！
懼鱗,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16648fb1723ff9ce707190e7df77013c6cf5f28fb3617ca055e4aa632e493259.png,3,在你的回合結束時，對全部其他手下造成1點傷害,3,1,4,2,the-grand-tournament,「搞清楚，酸喉才是那個小夥伴！」
強力射擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a5a2890bde4a4abfe6860d740a904302749b0384a2340094f7889952d08ba25.png,3,對一個手下及其兩側的手下造成 2點傷害,3,0,,,the-grand-tournament,碰！碰碰！
獸欄管理員,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f6df5c6aa517a3e7530558f1bfd4379d6cbb16ae40b447aa51c2323be41d2de.png,3,戰吼：本回合賦予一隻友方野獸免疫,3,1,4,2,the-grand-tournament,她弟弟是妖獸欄管理員，她的工作顯然正常多了。
山羊牧人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad8f4f26edc28b55a28dc30efc974fa23fb2bc8bf4820501a3eb211b2e621fd4.png,5,戰吼：若你有野獸，召喚一隻隨機的野獸,3,1,3,3,the-grand-tournament,做這行的訣竅就是不要被頂到。
蜘蛛囊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6749f414597b7b6e0e0d4a9ffd096d74a1da6a2019107a361ee5e9a9d77ab28d.png,6,召喚三個1/1織網者,3,0,,,the-grand-tournament,「怎麼到處都是蜘蛛！快弄乾淨！」
酸喉,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ae09ed4ae80e36e311c4c6bf8cf06c0cfd8e45c9b87dad24c5469a7af81f3a5.png,7,每當其他手下受到傷害，摧毀該手下,3,1,4,2,the-grand-tournament,在忠實的小夥伴懼鱗的幫忙下，蟄猛巨蟲酸喉可以對抗任何騎士！
秘法衝擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/035a8dad08d87a04fe9db040d517cd2465a5253af30c3cf14ca024f7a2a2e3b7.png,1,對一個手下造成 2點傷害。法術傷害的效果加倍,4,0,,,the-grand-tournament,雙倍傷害，雙倍快感！
陣亡英雄之靈,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04888cbda2ae55af53f68ad9e34e270055e40f491287d8c42c9d467a207f1cd7.png,2,你的英雄能力所造成的傷害提高1點,4,1,3,2,the-grand-tournament,這些英雄似乎永遠無法安息，就算每天去祝福他們也沒用。
